,budget,genres,id,keywords,original_title,production_companies,release_date,revenue,runtime,title,vote_average,vote_count,profit,month,movie_id,cast
616,66000000,"[10749, 18, 9648]",1844,"[212, 613, 1418, 1437, 1448, 1568, 1936, 2483, 9727, 10051, 14669, 14789, 15009, 156031, 159468, 168346, 169356, 227432]",Entrapment,"[414, 508]",1999-04-29,212404396,112.0,Entrapment,6.0,602,146404396,4,1844,"[738, 1922, 883, 7868, 10182, 2449, 82410, 152281, 696, 79888, 933883, 185399, 183930, 1089911, 151438, 1089912, 1089913, 62937, 195599, 1089914, 202939]"
617,66000000,"[9648, 878, 53]",846,"[258, 720, 1328, 1523, 1603, 1812, 1826, 2766, 2908, 3271, 3288, 4249, 6086]",The X Files,"[306, 545]",1998-06-19,189198313,121.0,The X Files,6.6,488,123198313,6,846,"[12640, 12214, 12644, 12643, 12642, 2641, 12645, 129252, 118004, 113017, 10401, 12646, 12647, 155, 1527160, 990733, 1685452, 100879, 2081, 9291, 1163144, 550900, 109870, 1685453, 1221560, 1685454, 10137, 68180, 60944, 21380, 1274297, 1685455, 1190639, 59062, 1685456, 1685457, 24625, 62035, 1226060, 10956, 95192, 1685458, 1685459, 1685460, 112651, 37203]"
618,67000000,"[28, 12, 14, 10752]",9703,"[1405, 2280, 5049, 8659, 14704, 194576]",The Last Legion,"[289, 6370, 10308, 16923]",2007-04-19,25303038,102.0,The Last Legion,5.0,207,-41696962,4,9703,"[5472, 2282, 87773, 3064, 9013, 10727, 20508, 25663, 36669, 43547, 58654, 2957, 47643, 2467, 58655, 1216581]"
619,70000000,"[18, 36, 10752]",857,"[1327, 1430, 1543, 1956, 2770, 3800, 3930, 4299, 4300, 4302, 4303, 4304, 6092, 7956, 11108, 11111, 11371, 162365, 207883]",Saving Private Ryan,"[4, 27, 56, 762, 11362]",1998-07-24,481840909,169.0,Saving Private Ryan,7.9,5048,411840909,7,857,"[31, 1892, 12835, 3197, 12834, 4654, 1117, 94864, 12838, 3907, 12833, 6163, 1771, 12836, 13242, 52476, 75071, 20471, 59085, 218321, 141358, 99905, 51797, 17419, 1342659, 183930, 592618, 1648656, 1063140, 1230574, 1648657, 1648658, 92811, 1653085, 1054325, 234586, 51931, 25753]"
620,66000000,"[28, 80, 18, 53]",136797,"[9666, 10494, 11058, 33885, 41645, 179431, 209714]",Need for Speed,"[27, 7294, 8403, 9195, 34890, 76043]",2014-03-13,203277636,130.0,Need for Speed,6.1,1520,137277636,3,136797,"[84497, 55470, 17606, 17838, 72985, 127281, 118545, 2232, 484359, 1262082, 1292730, 18461, 1292731, 1292732, 53330, 1116011, 155077, 1519904, 4327, 984363, 75636, 41020, 20562, 1615196, 1032522, 1391129, 8432, 1463686, 1714886, 1714914, 1714915, 179851, 565504, 1416332, 196843, 1714916, 1714917, 63426, 1460680, 4609, 1530091, 194654, 43010, 1714921, 1714922, 1714923]"
621,70000000,"[35, 10749]",3981,"[515, 1475, 4769, 168750, 187056]",What Women Want,"[4, 347, 4564, 8116]",2000-12-15,374111707,127.0,What Women Want,6.1,992,304111707,12,3981,"[9994, 2461, 3141, 34485, 11365, 21278, 34486, 34487, 34488, 34489, 20750, 34490, 73931, 33235, 41420, 1228874, 110635, 133385, 170074, 26483, 86267, 18284, 1232775, 1858923, 1858924, 1189226, 1858925, 1858927, 1858928, 106966, 1775881, 1355199, 1773690, 1858930, 1449408, 42377, 1068942, 1408764, 151263, 86170, 78578, 1842187, 1858933, 1858934, 1858939, 946447, 1233833, 1858952, 1858954, 98533, 114880, 1858960, 1858962, 1858965, 1858966, 1858967, 1026225, 153912, 120244, 114028, 80290, 1858970, 1858972, 1858975, 1607844, 1858976, 1233419, 80615, 1714926, 1858987, 1858992, 1296678, 29444, 1859002, 64474, 1859004, 1859006, 1859010, 1500108, 1859015, 169027, 1383838, 1859037, 154207, 1503028, 1317382, 1859038, 104647, 1201092, 1773689, 1859042, 118888, 1512289, 1859045, 73931, 1859046, 1859049, 1859051, 1859053, 1859057, 1781151, 1859067, 1781151, 1859070, 1798876, 1859071, 1439542, 86588, 1859072, 1502787]"
622,59000000,"[16, 35, 10751, 12]",425,"[311, 970, 990, 1445, 1452, 2078, 2079, 3737, 4428, 10506, 158017, 159955, 166958, 178645, 183414, 192918]",Ice Age,"[306, 9383, 11749]",2002-03-10,383257136,81.0,Ice Age,7.1,3857,324257136,3,425,"[15757, 5723, 5724, 5725, 70851, 5726, 17401, 5727, 21088, 60019, 13636, 5717, 1446460, 52419, 5713, 59695, 102794, 1446462]"
623,68000000,"[18, 27, 878, 53]",6171,[3684],Dreamcatcher,"[79, 97, 172, 13040, 24939]",2003-03-21,75715436,136.0,Dreamcatcher,5.3,567,7715436,3,6171,"[192, 11155, 11662, 20186, 18082, 3197, 2680, 48462, 48463, 33049, 48464, 48465, 44275, 21710, 2250, 114894]"
624,65000000,"[36, 18]",72976,"[840, 6001, 10141, 155294, 159103, 179585, 185718, 185722, 185723, 185728, 185730, 185733, 185736, 185740, 185742, 209409]",Lincoln,"[7, 56, 306, 444, 862, 6735, 7294]",2012-11-09,275293450,149.0,Lincoln,6.7,1429,210293450,11,72976,"[11856, 35, 11064, 24045, 13548, 11066, 2176, 72095, 17183, 15440, 14888, 27740, 1462, 151432, 1023139, 16861, 33528, 19489, 234983, 21369, 239271, 72873, 82167, 57093, 27740, 37204, 91671, 526, 122889, 121718, 126713, 24305, 941524, 31282, 197009, 43364, 1470, 7576, 1271708, 1271709, 1271710, 21142, 1271712, 1269695, 1271713, 1271714, 176315, 1271715, 1271716, 1271717, 107406, 21082, 1189423, 1271718, 1271719, 157961, 1271720, 1271721, 1271722, 1271723, 1271724, 1271725, 1271726, 153946, 3978, 1050565, 169839, 1343249, 1650163, 35013, 196179]"
625,63000000,"[28, 878]",603,"[83, 310, 312, 490, 530, 779, 1430, 1721, 3074, 4563, 4565, 6256, 12190, 187056, 194063, 221385]",The Matrix,"[79, 372, 1885, 6194]",1999-03-30,463517383,136.0,The Matrix,7.9,8907,400517383,3,603,"[6384, 2975, 530, 1331, 9364, 532, 9372, 9380, 39545, 7244, 9374, 9376, 9378, 9383, 9384, 181214, 1090466, 218366, 1209244, 1209245, 1209246, 1209247, 1209248, 57799, 1209249, 1209250, 1209251, 110411, 212562, 1209252, 75715, 1209253, 1209254, 26753, 1209255, 1209256]"
626,52000000,[18],568,"[305, 1196, 1432, 2345, 4776, 9609, 9672, 9882, 10084, 10349, 10617, 14601, 14626, 156395, 184994, 189098, 193479, 226233, 226234, 226235, 226236]",Apollo 13,"[23, 33]",1995-06-30,355237933,140.0,Apollo 13,7.3,1599,303237933,6,568,"[31, 2053, 4724, 33, 228, 8183, 8184, 8185, 8186, 8187, 8188, 8189, 7219, 8190, 8191, 8192, 3982, 102429, 1400384, 152718, 43461, 15661, 41517, 16841, 8175, 92808, 7852]"
627,65000000,"[14, 35, 10751]",9021,"[65, 1441, 1526, 1991, 2343, 4290, 4896, 5153, 9663, 12200, 207317]",The Santa Clause 2,"[2, 889, 12626]",2002-10-31,172855065,104.0,The Santa Clause 2,5.5,297,107855065,10,9021,"[12898, 31167, 38582, 27564, 35654, 777, 19957, 7166, 38674, 28640, 963962, 1237729, 1235498]"
628,61000000,"[18, 10402, 10749]",82695,"[254, 642, 1411, 1919, 3412, 4344, 5638, 6092, 11196, 13027, 13072, 13092, 15232, 15234, 186951]",Les Misérables,"[33, 7295, 7923, 10163]",2012-12-18,441809770,157.0,Les Misérables,7.1,1884,380809770,12,82695,"[6968, 934, 1813, 71070, 6730, 1283, 37632, 143425, 145116, 1133684, 1278483, 43554, 1278484, 1278485, 1278486, 44930, 1222025, 1123, 117313, 1090138, 191752, 1184005, 192922, 123501, 1233034, 56098, 178630, 1278487, 1229438, 1278488, 1278489, 1278490, 1278491, 1278492, 1278493, 132988, 216425, 1010912, 176191, 986101, 1278494, 1220071, 1278495, 1091582, 1278496, 40311, 132992, 1278497, 219763, 1278498, 1278499, 17259, 32807, 193340, 138412, 210169, 95716, 1278501, 30086, 73528, 1145979, 1145984, 231700, 1278503, 1278504, 1232658, 211413, 1278510, 1278511, 27655, 1220052, 1278512, 1278513, 138158, 3568, 1278517, 1278518, 1278519, 1278522, 1278523, 1278524, 1278525, 990509, 1278526, 1278527, 156356, 231673, 1278528, 1278529, 1256160, 1206337, 1278530, 231666, 1278531, 1278532, 231674, 1028366, 195415, 231664, 231677, 1278535, 1172316, 1278536, 1159508, 183180, 1278132, 970737, 19903, 1182570, 1278543, 1278544, 160950, 1278545, 1278546, 1278547, 1278548, 244600, 1278549, 1278550, 1052255, 1278551, 231693, 105440, 1278552, 209984, 1278553, 1278554, 1278555, 1278556, 1278557, 1278558, 1278559, 1278560, 1278561, 1278562, 1278563, 1278564, 1278565, 1278566, 1278567, 1278568, 1278569, 1278573, 1278574, 1278575, 1278576, 1278577, 1278578, 1278579, 223044, 1261131, 195286, 1278580, 1266585, 206726, 1278581, 1028408, 1278582, 87099, 192923, 985962, 117323, 1278583, 1278584, 202759, 1278585, 1278586, 1278587, 1278588, 1222373, 1278589, 1278590, 1278591, 515313, 1278593, 1278594, 1278595, 231686, 1278596, 231688, 1278597, 1151069, 1278601, 1278602, 1278604, 1278605, 1278606, 1278607, 989411, 1278608, 1278609, 1278610, 1278611, 1278612, 1278613, 1278614, 1278615, 1278616, 1278617, 1278618, 1278619, 231680, 1278620, 1278621, 1278622, 1278623, 1278624, 1278625]"
629,65000000,"[35, 10749]",9489,"[9799, 182195, 187056]",You've Got Mail,[6194],1998-12-17,250821495,119.0,You've Got Mail,6.3,838,185821495,12,9489,"[31, 5344, 57676, 17141, 7489, 28933, 18324, 26716, 12850, 43894, 4169, 18649, 2617, 44830, 125055, 61659]"
630,65000000,[35],12133,"[1412, 4970, 5707, 6062, 7714, 8631, 14647, 179430, 179431]",Step Brothers,"[5, 748, 4740, 7295, 10105]",2008-07-25,128107642,98.0,Step Brothers,6.5,1062,63107642,7,12133,"[23659, 4764, 2453, 28633, 36801, 17696, 71402, 71403, 19274, 141532, 964809, 1186229, 170759, 1003061, 59841, 83586]"
631,95000000,"[28, 12]",9342,"[387, 470, 1701, 2284, 9725, 9748]",The Mask of Zorro,"[56, 559]",1998-07-16,250288523,136.0,The Mask of Zorro,6.3,1183,155288523,7,9342,"[3131, 4173, 1922, 14344, 57374, 80494, 1077815, 956973, 83841, 58637, 34842, 941030, 224508, 1077816, 974912, 1077818, 58648, 8262, 109145, 1031693, 166606, 1077819, 146797, 1301749]"
632,65000000,"[35, 18]",41733,"[3306, 8631, 11546, 15210, 15211, 15212, 15213, 15215]",Due Date,"[923, 3527, 6194]",2010-11-04,211780824,95.0,Due Date,6.2,1685,146780824,11,41733,"[3223, 58225, 11705, 134, 3196, 62862, 150, 59841, 142373, 1288866, 1288867, 57130, 1241324, 142375, 142374, 298410, 1733288, 6952]"
633,65000000,"[18, 10752]",227306,"[1956, 1968, 5565, 6075, 6091, 10456, 187056, 208820]",Unbroken,"[923, 36390, 39443]",2014-12-25,163442937,137.0,Unbroken,7.3,1400,98442937,12,227306,"[85065, 93210, 9828, 1391420, 168877, 224181, 1394424, 20588, 37154, 103351, 1394446, 1374534, 1394425, 1056523, 558466, 1394429, 1174927, 1394448, 1394447, 1394431, 970534, 1394444, 212730, 1394420, 98306, 1394423, 1394426, 1394427, 1394428, 1213640, 1394430, 75748, 1394432, 1394433, 1394434, 1110812, 1205489, 1394435, 1059787, 1394437, 1394438, 1394439, 1394440, 1394442, 1394443, 117020, 1179405, 1381319, 1394450, 1394451, 1361564, 1394452, 1328711, 1394454, 1394455, 1394456, 1394457, 1394458, 1394459, 1394460, 1394461, 1394462, 1394463, 1394464, 1394465, 1394466, 1394467, 1394468, 1394469, 1394470, 1394471, 1394472, 1394473, 1394474, 1394475, 1394476, 1394477, 1394478, 1194035]"
634,65000000,"[28, 12, 53]",5551,"[1432, 3801, 14626, 172971]",Space Cowboys,"[79, 171, 1757, 6194, 10566, 76068]",2000-07-31,128884132,130.0,Space Cowboys,6.3,403,63884132,7,5551,"[190, 2176, 55636, 16896, 2505, 4726, 21416, 11628, 24047, 15746, 1118, 7571, 1188456, 65717, 10881, 1590757]"
635,70000000,"[28, 12, 53]",9350,"[2805, 3800, 4245, 4702, 8624, 10051, 10594, 10794, 159212, 229053]",Cliffhanger,"[559, 5358, 14723, 23246, 45728, 45729]",1993-05-28,255000211,112.0,Cliffhanger,6.1,588,185000211,5,9350,"[16483, 12074, 12132, 51580, 16937, 6692, 12974, 51799, 44178, 111078, 30369, 7268, 8853, 1818, 948644]"
636,50000000,"[28, 12, 18, 53]",9208,"[720, 1261, 1316, 1353, 1666, 1825, 3203, 5572, 8122, 9052, 10085, 12371, 13008, 14601, 15263, 18034, 162365, 208547, 209476, 214472, 215861, 219869]",Broken Arrow,"[306, 456, 11362]",1996-02-09,150270147,108.0,Broken Arrow,5.7,453,100270147,2,9208,"[8891, 2224, 20767, 18792, 4029, 11805, 126418, 6198, 12536, 61216, 4607, 17857, 62548, 141582, 9558]"
637,65000000,"[14, 35, 10751]",4244,"[965, 1599, 1660, 2417, 3321, 3923, 206736]",The Kid,[2],2000-07-07,69700000,104.0,The Kid,6.0,238,4700000,7,4244,"[62, 35654, 1246, 10437, 8687, 5376, 13314, 1473, 15253, 35656, 35658, 55536, 154224, 160292, 157085, 143204, 1564336, 87186, 152802, 1724888, 10136, 1724889, 130778, 58512, 196046, 155560, 51956, 1724893, 1090382, 552266, 1724894, 168924, 53778, 1216891, 49921, 1724895, 1724874, 44127, 1213613, 18461, 160051, 1219637, 1724901, 1724902, 1724903, 1724904, 1503028, 567122, 1724906, 105262, 1502785, 14408, 1254189, 1724907, 1129737, 168875, 1724908]"
638,63000000,"[18, 36, 53]",1852,"[321, 708, 905, 1701, 2733, 2736, 5597, 10084, 11399, 11612, 18029, 18030, 18031]",World Trade Center,"[4, 215, 763, 20396]",2006-08-09,162945894,128.0,World Trade Center,5.9,447,99945894,8,1852,"[2963, 49, 1579, 454, 19487, 8540, 335, 19488, 19489, 19490, 10822, 11805, 19491, 19492, 19493, 4738, 19494, 19495, 19496, 19497, 19498, 8693]"
639,65000000,"[18, 10749]",11820,"[171452, 171453, 171459, 171461, 171468, 171469, 171473]",Mona Lisa Smile,"[5, 497]",2003-12-19,0,117.0,Mona Lisa Smile,6.5,393,-65000000,12,11820,"[1204, 205, 12041, 1579, 417, 17052, 17287, 1067581, 6238, 4726, 111164, 4888, 1667753, 21134, 41293, 56694, 10748, 79792, 65762, 21042, 1099170, 78080]"
640,65000000,[35],76493,[190066],The Dictator,[4],2012-05-15,179379533,83.0,The Dictator,5.9,1743,114379533,5,76493,"[6730, 173810, 20644, 19537, 1772, 4764, 571570, 81840, 2282, 999817, 111683, 17696, 1223718, 1264686, 212290]"
641,65000000,"[9648, 18]",345,"[314, 459, 460, 826, 1441, 1664, 1817, 2404, 10776, 33625]",Eyes Wide Shut,"[194, 195, 385, 6194]",1999-07-14,162091208,159.0,Eyes Wide Shut,7.1,1234,97091208,7,345,"[500, 2227, 5006, 5007, 2226, 5008, 1292351, 5010, 5011, 5012, 5023, 5024, 5025, 22290, 10697, 1118, 5020]"
642,65000000,"[35, 18, 10751]",196867,"[4344, 13014, 155643]",Annie,"[5, 7291, 7431, 12485, 95063]",2014-12-19,133821816,119.0,Annie,6.0,466,68821816,12,196867,"[1055235, 134, 9827, 6941, 21127, 31164, 22821, 1357266, 1533987, 1028458, 1533988, 26718, 10580, 113373, 204651, 159828, 521, 1377052, 943751, 18973, 18976, 131519, 1276, 1733614, 452205, 1480047, 1598856, 1889720, 1889723, 41549, 1590770, 1458116, 155549, 100703, 979216, 1468597, 1473231, 1476142, 1672562, 1889728]"
643,50100000,"[10749, 35, 80, 18]",256591,"[3182, 3202, 9016, 9758, 9823, 10453]",Focus,"[21914, 41624, 47586]",2015-02-25,153962963,105.0,Focus,6.7,2542,103862963,2,256591,"[2888, 234352, 17289, 39545, 29512, 94432, 14592, 1218149, 1440537, 76021, 94427, 1319345, 154784, 1440538, 172734, 529943, 1503756, 1632735, 140538, 1632873, 1632896, 1632903, 1445107, 1441997, 567742, 1632919, 1632923, 1457266, 932104, 231857, 1632933, 1632934, 1346503, 1088038, 62784, 1393522, 1096595]"
644,65000000,"[28, 35, 10749]",59962,"[128, 6054, 13043, 182178, 182185, 182195, 182196, 182198, 182204]",This Means War,"[444, 907, 3929]",2012-02-14,156974557,103.0,This Means War,5.9,1389,91974557,2,59962,"[368, 62064, 2524, 43286, 9780, 1048580, 232525, 21430, 1844, 151254, 1154244, 123725, 18998, 59179, 84338, 213001, 58399, 62836, 64674, 211907, 205560, 228890, 60601, 221581, 1224673, 1048580, 60723, 1581104, 107810, 1581106, 172883, 1581107, 139618, 1128861, 1408200, 1566370, 1288837, 1581108, 1294968, 1581103, 211685, 1581110]"
645,65000000,"[878, 28, 27, 53, 12, 14]",36648,"[1812, 3633, 5572, 9259, 9715, 9717, 14731, 14735, 14926, 40884, 162085, 163074, 166720, 174871, 174878]",Blade: Trinity,"[12, 421, 8851, 11321, 19551, 42209]",2004-12-08,128905366,123.0,Blade: Trinity,5.7,1252,63905366,12,36648,"[10814, 10823, 10862, 10860, 10859, 7489, 143382, 8265, 540, 115788, 1052900, 10875, 276478, 1736, 10871, 1052901, 10872, 10866, 1218928, 60536]"
646,4200000,"[28, 53]",1880,"[1008, 1981, 4278, 7059, 40847, 193008]",Red Dawn,"[60, 774]",1984-08-10,38376497,114.0,Red Dawn,6.4,215,34176497,8,1880,"[723, 2878, 1063, 2884, 6952, 722, 19737, 8258, 5048, 98102, 6280, 55841, 39036, 1735, 65019, 12298, 1169, 1221566]"
647,65000000,"[35, 18]",9440,"[833, 840, 2946, 3692, 6375, 34094]",Primary Colors,"[33, 762]",1998-03-20,0,143.0,Primary Colors,6.1,94,-65000000,3,9440,"[8891, 7056, 879, 8534, 76215, 16307, 6840, 6587, 3026, 19, 34, 43372, 925, 26715, 4252, 1910, 10486]"
648,65000000,"[28, 27, 878]",71679,"[1852, 4565, 9663, 10410, 12369, 12377, 41645, 186450, 188955, 188957, 188959, 188973, 197990]",Resident Evil: Retribution,[342],2012-09-12,240159255,95.0,Resident Evil: Retribution,5.6,1600,175159255,9,71679,"[63, 7055, 17647, 90455, 109432, 80758, 101017, 222910, 79072, 1095911, 18041, 5414, 81097, 223126, 1815573, 104521, 969189, 57192, 195535, 232174, 7059, 65345, 68224, 3491, 17303, 3972]"
649,45000000,"[28, 53, 878]",10483,"[830, 4565, 5144, 9774, 9775, 9777, 9778, 9779, 9844, 14819]",Death Race,"[33, 44, 248, 7295, 7419, 28121]",2008-08-22,73762516,105.0,Death Race,6.0,1175,28762516,8,10483,"[976, 11148, 6972, 8169, 76511, 21942, 16429, 76512, 76513, 76514, 65831, 57250, 98723]"
650,65000000,"[80, 28, 9648, 53]",11412,"[441, 1453, 1562, 3713, 10123, 10508, 10685, 14768, 41414, 166625, 176802, 188907, 212801, 228081]",The Long Kiss Goodnight,"[12, 2980, 21920]",1996-10-11,89456761,120.0,The Long Kiss Goodnight,6.5,314,24456761,10,11412,"[16935, 2231, 37252, 14886, 126471, 1248, 8979, 52, 141458, 25972, 16937, 53584, 141459, 141460, 141461]"
651,65000000,"[28, 12, 18, 10749, 53]",11983,"[1562, 1605, 9937, 33705]",Proof of Life,"[97, 6194]",2000-12-08,0,135.0,Proof of Life,6.0,208,-65000000,12,11983,"[5344, 934, 52, 14699, 16560, 66913, 16293, 3757, 1454453]"
652,65000000,"[10751, 14, 878, 12]",6795,"[4414, 6095, 9951, 10891, 12405, 14626]",Zathura: A Space Adventure,"[441, 2550, 11370, 14718]",2005-11-06,64321501,101.0,Zathura: A Space Adventure,6.1,779,-678499,11,6795,"[51297, 27972, 51298, 37917, 504, 7908, 51300, 51301, 51302, 51303, 443770]"
653,63000000,[18],550,"[825, 851, 1541, 3927, 4142, 4565, 14819]",Fight Club,"[508, 711, 20555, 54050, 54051, 54052]",1999-10-15,100853753,139.0,Fight Club,8.3,9413,37853753,10,550,"[819, 287, 7470, 7499, 1283, 7471, 7497, 7498, 7472, 7219, 68277, 956719, 59285, 17449, 56112, 42824, 40277, 122805, 35521, 1224996, 1219497, 1226835, 41352, 177175, 109100, 1221838, 145531, 9291, 1129738, 1317693, 202080, 7473, 1172435, 1705289, 62846, 530040, 137425, 175120, 1744132, 168924, 157938, 7500, 1744135, 1744137, 1636371, 1174793, 1744138, 1744139, 1744140, 63537, 170315, 1707776, 7140, 74507, 1383838, 1194120, 1744141, 13925, 1744142, 552271, 94561, 1223916, 1744143, 1525014, 1577360, 1403525, 1744144, 1744145, 1386468, 1744146, 1744147, 133153, 1744148, 16060, 1744149, 1744150, 1744151]"
654,65000000,[18],11170,"[579, 1228, 1482, 3616, 6075]",We Are Marshall,"[923, 3528, 4022, 6194]",2006-12-12,43545364,124.0,We Are Marshall,6.7,186,-21454636,12,11170,"[10297, 28657, 53650, 11064, 6972, 51072, 31717, 1785189]"
655,65000000,"[28, 12, 35]",9292,"[716, 2967, 5918, 6168]",Hudson Hawk,"[559, 1885]",1991-05-23,17218080,100.0,Hudson Hawk,5.4,269,-47781920,5,9292,"[62, 1004, 1533, 5563, 20766, 3664, 16560, 39780]"
656,65000000,"[28, 12, 35, 80, 10749, 53]",10783,"[902, 3586, 3694, 4258, 7832, 11061, 187056]",Lucky Numbers,"[4, 694]",2000-10-27,0,105.0,Lucky Numbers,4.9,52,-65000000,10,10783,"[8891, 14406, 3129, 18977, 4688, 15028, 8984, 31028, 17087, 5176, 51381, 60278, 1910, 66749, 66750]"
657,65000000,"[27, 53]",100241,"[634, 2011, 2095, 2486, 3071, 6152, 6737, 10842, 11408, 14955, 15001, 33783, 156395, 209714]","I, Frankenstein","[126, 737, 1632, 13788]",2014-01-22,71154592,92.0,"I, Frankenstein",5.0,687,6154592,1,100241,"[6383, 63312, 2440, 224181, 502, 145245, 3952, 144081, 145246, 145248, 75174, 187494, 27752, 1386458, 121160, 61784, 1418813, 15340, 1519995, 1406989, 1872770, 1291814]"
658,50000000,"[80, 18, 10751]",257,"[212, 516, 542, 708, 714, 6272, 6783, 9727, 14819, 46958, 208349]",Oliver Twist,"[355, 2979, 6732]",2005-09-23,42093706,130.0,Oliver Twist,6.7,274,-7906294,9,257,"[3542, 2282, 3543, 3544, 3545, 3546, 3547, 3566, 3549, 3550, 3551, 3552, 3553, 3554, 3555, 3565, 3567, 3568, 2983, 82639, 7320, 1231968, 120833, 28482, 1220097, 41334, 56101, 1571182, 2629, 92432, 9142, 145877, 174710, 6645]"
659,43000000,"[28, 14]",9947,"[779, 9717, 12367, 15285]",Elektra,"[306, 508, 1171, 10104, 19551, 19552, 19553, 19554]",2005-01-13,56681566,97.0,Elektra,4.8,575,13681566,1,9947,"[9278, 5725, 10884, 11398, 28641, 21430, 60715, 1218926, 60718, 60717, 60716, 26782, 60719, 60720, 25386, 60604, 60723, 60721, 60722, 60724]"
660,65000000,"[80, 53]",189,"[703, 4565, 7089, 9826, 9937, 15016, 18712, 178857, 207268, 209714]",Sin City: A Dame to Kill For,"[14, 10807, 11005, 11006, 13241, 29076, 41658]",2014-08-20,39407616,102.0,Sin City: A Dame to Kill For,6.3,1286,-25592384,8,189,"[2295, 56731, 16851, 24045, 5916, 62, 10912, 6280, 352, 11477, 22227, 12799, 1062, 5915, 36594, 825, 20982, 8693, 78324, 237405, 57674, 936970, 968889, 3133, 84791, 90553, 1129413, 1406568, 1406570, 60674, 1393520, 1406674, 1025370, 55269, 1406676, 61566, 1091423, 1406685, 101981, 1375035, 1268114, 1358928, 58942, 1094233, 1406693, 1155321, 1406695, 1226245, 96007, 1486488]"
661,64000000,"[18, 10749]",12618,"[1326, 6083, 12617, 34079, 175421, 188127, 208397]",Random Hearts,[5],1999-10-08,74608570,133.0,Random Hearts,5.3,63,10608570,10,12618,"[3, 5470, 17764, 5149, 352, 2226, 28633, 925, 62547, 9979, 19152, 71266, 39730, 8854, 51072, 1511013, 101418, 31649, 1215689, 91461, 25869, 1181562, 36190, 3978]"
662,55000000,"[12, 18]",253412,"[1262, 3373, 5827, 8624, 10794, 34079, 156783, 159212, 185722, 192779, 209714]",Everest,"[33, 10163, 10221, 10246, 40106, 62693]",2015-09-10,203427584,121.0,Everest,6.7,1772,148427584,9,253412,"[76512, 131, 16851, 16861, 65731, 32, 116, 85977, 1639, 1137824, 50217, 26291, 1133349, 43034, 556356, 205659, 59259, 1212871, 55584, 1514180, 1183138, 1514181, 1514182, 1514183, 1384499, 1229187, 17354, 25657, 238166, 20471, 211586, 150669, 71072, 77244, 1514184, 1452671]"
663,50000000,"[80, 14, 18]",1427,"[90, 293, 549, 1415, 1523, 1817, 1866, 2483, 3568, 5558, 5560, 5561, 5562, 5600, 6152, 6257, 6272, 34079, 158194]",Perfume: The Story of a Murderer,"[342, 753, 1208, 2116, 2875, 5755, 7956]",2006-09-13,132180323,147.0,Perfume: The Story of a Murderer,7.1,1165,82180323,9,1427,"[17064, 16273, 10779, 17079, 8800, 17069, 17078, 17076, 17077, 17072, 17067, 17071, 4483, 129050, 4566, 17074, 680, 17070, 17075, 17068, 17073, 17066, 1516661, 5049]"
664,63000000,"[35, 80, 878]",818,"[83, 339, 380, 402, 470, 720, 1321, 1375, 1423, 1568, 1690, 1881, 1926, 2334, 3290, 3346, 3371, 3796, 4507, 4539, 4541, 15267, 179431]",Austin Powers in Goldmember,"[12, 595, 598, 15888, 52943]",2002-07-26,296655431,94.0,Austin Powers in Goldmember,5.9,979,233655431,7,818,"[12073, 14386, 13922, 13919, 13924, 10987, 3895, 2223, 14390, 14391, 7425, 9208, 162829, 43373, 62816, 180084, 8396, 59090, 12052, 1592516, 162371, 8891, 518, 1979, 500, 1224582, 215099, 1642098, 120560, 154224, 1215973, 218220, 116278, 17273, 25711, 15661, 178926, 72442, 1223828, 159907, 17305, 1775864, 1226794, 554193, 1775865, 1775866, 1775867, 1773910, 113814, 1019906, 1775878, 54588, 151386, 1775879, 1231498, 1773681, 58953, 1775881, 1775882, 208710, 1775883, 1562235, 1775884, 1753706, 1775886, 1710767, 571241, 1748185, 1775887, 1775888, 1752319, 1775889, 174054, 1380880, 1775890, 1775891, 1775892, 1775893, 1775894, 1775895, 78729, 166658, 2879, 1775896, 1324263, 1775897, 1775898, 1775899, 1265823, 1733255, 1775900, 1707343, 1775901, 13635, 1775904, 4030, 1503021, 1775905, 1396824, 1775906, 213980, 1522212, 1202553, 1347276, 146416, 179048, 1775910, 1775911, 1775913, 1215398, 1775914, 12208, 488, 111946]"
665,65000000,"[16, 28, 10751, 878]",16577,[9715],Astro Boy,"[308, 491, 3196, 3463]",2009-10-15,44091067,94.0,Astro Boy,6.1,409,-20908933,10,16577,"[2963, 40462, 2440, 55636, 1281, 26510, 80641, 78729, 2231, 6885, 58563, 21088, 84080, 18050, 1397895]"
666,63000000,"[12, 878]",329,"[911, 1718, 1719, 1720, 1764, 1765, 1767, 2041, 12616, 155582, 158340, 178010]",Jurassic Park,"[33, 56]",1993-06-11,920100000,127.0,Jurassic Park,7.6,4856,857100000,6,329,"[4783, 4784, 4785, 4786, 4789, 4790, 14592, 4787, 4788, 2231, 4201, 2211, 30488, 176312, 145531, 166298, 1060, 9559, 1278538, 4791, 1278539, 26660, 1278540, 1278541, 1004156, 15335, 1278542]"
667,63000000,"[18, 28, 37]",12160,"[75, 395, 798, 1559, 4391, 5074, 6165, 9550]",Wyatt Earp,"[335, 6194, 13040, 24217]",1994-06-24,25052000,191.0,Wyatt Earp,6.5,202,-37948000,6,12160,"[1269, 6065, 193, 7219, 57251, 20495, 59662, 19728, 147, 11514, 8984, 6588, 3197, 10080, 51544, 16433, 16937, 2059, 1218048, 49425, 36041, 31362, 52462, 16331]"
